model,r2,mae,rmse,median_ae,bias,rho,within_20,within_30,bottomQ_prec,spread,district_r2,district_mae
stock LightGBM (nb 04),0.10312507756031175,1151.4441569496585,1506.5021615680478,932.2957941266496,-89.48661168207765,0.4011139115303435,0.32859450726979,0.4815831987075929,0.4838501291989664,0.5814555902634355,0.3202487616773204,447.05327793305963
LightGBM,0.13956882381488922,1133.0799878520472,1475.5770355202753,927.2095466447095,-32.23404439325703,0.4087294039111766,0.33974151857835216,0.49063004846526653,0.5025839793281653,0.4823971450070623,0.42106664156521456,419.3668271579203
XGBoost,0.16445561568120737,1120.0190636968987,1454.0809375812244,910.559196166992,29.60753778119801,0.4223960569445168,0.3516962843295638,0.5025848142164782,0.5051679586563308,0.44137518098729894,0.6151999567028376,309.32545843921605
RandomForest,0.15625811364693554,1129.2480727342925,1461.1965007580297,930.6226449461712,53.30332557750765,0.4152197737765966,0.3429725363489499,0.4953150242326333,0.5045219638242894,0.4043909273611747,0.5650125279262754,319.1743227392507
ExtraTrees,0.15202470479546482,1134.5279873930024,1464.8576336590515,941.4242510916454,68.82604995817462,0.4082919027126324,0.3399030694668821,0.49353796445880455,0.49870801033591733,0.4230658972658468,0.5694172214166733,325.28422524188306
NeuralNet,0.13816993189875804,1130.0474572447479,1476.776047446082,912.5861266015627,-34.96513869496099,0.42060785906621584,0.3399030694668821,0.48222940226171246,0.5012919896640827,0.5441073972417779,0.566736109442365,381.61475680224044
Ridge,0.0860809156379212,1169.1052560427495,1520.7495333684838,953.5864493288386,-22.6669362153551,0.395856639686077,0.3305331179321486,0.4731825525040388,0.4903100775193798,0.6006836702667088,0.3351751642054527,464.54246919705287
