location_key,month,clim_rain_mm,clim_rain_days,clim_tmean_c,clim_gdd10
+00.0250_+034.1250,1,58.176403391361234,8.333333333333334,22.17708943069622,388.20585103352926
+00.0250_+034.1250,2,54.7380863626798,7.7,22.830271821264795,371.88406646728566
+00.0250_+034.1250,3,131.72828552325566,16.1,22.552778369124237,397.920137634278
+00.0250_+034.1250,4,225.92929803530376,21.066666666666663,21.91394736184016,367.2613945515957
+00.0250_+034.1250,5,192.3441036224365,20.2,21.63630928121591,372.4167317708339
+00.0250_+034.1250,6,93.21192331314089,10.933333333333334,21.237105392879947,348.00206222534246
+00.0250_+034.1250,7,60.57367763196429,8.566666666666666,21.02114577071216,351.3056248982753
+00.0250_+034.1250,8,74.21736442248026,12.2,21.36535888794929,362.010902913412
+00.0250_+034.1250,9,107.05450924038888,15.4,21.86331046492968,366.4668373107916
+00.0250_+034.1250,10,149.38749740123748,18.366666666666667,21.789744503609192,376.83579635620174
+00.0250_+034.1250,11,158.15721840262412,17.266666666666666,21.52156546910608,356.3882893880215
+00.0250_+034.1250,12,94.81008715629578,10.8,21.71012823043333,373.3091531372076
+00.0250_+034.1750,1,58.54498196442922,8.3,22.17708943069622,388.20585103352926
+00.0250_+034.1750,2,57.25038596192996,7.633333333333334,22.830271821264795,371.88406646728566
+00.0250_+034.1750,3,138.365180371205,16.333333333333332,22.552778369124237,397.920137634278
+00.0250_+034.1750,4,235.16133244434997,20.866666666666667,21.91394736184016,367.2613945515957
+00.0250_+034.1750,5,196.4368111650149,20.23333333333333,21.63630928121591,372.4167317708339
+00.0250_+034.1750,6,99.21724353233974,11.166666666666666,21.237105392879947,348.00206222534246
+00.0250_+034.1750,7,61.369093062976994,8.8,21.02114577071216,351.3056248982753
+00.0250_+034.1750,8,79.10142365098,12.6,21.36535888794929,362.010902913412
+00.0250_+034.1750,9,111.43577254662912,15.666666666666666,21.86331046492968,366.4668373107916
+00.0250_+034.1750,10,149.2979497551918,18.6,21.789744503609192,376.83579635620174
+00.0250_+034.1750,11,164.0122217754523,17.1,21.52156546910608,356.3882893880215
+00.0250_+034.1750,12,95.99201125701268,10.966666666666669,21.71012823043333,373.3091531372076
+00.0250_+034.2250,1,61.13535408377648,8.366666666666667,21.71477441753541,376.6025651041674
+00.0250_+034.2250,2,60.822298003236455,7.8,22.446268450868043,362.13593170166064
+00.0250_+034.2250,3,139.1865131020546,16.266666666666666,22.16420038763344,389.3658941650396
+00.0250_+034.2250,4,236.402633090814,20.83333333333333,21.47886363064804,359.0110463968919
+00.0250_+034.2250,5,205.48893772363664,20.53333333333333,21.164364276735625,362.4270940144862
+00.0250_+034.2250,6,104.04130710363388,11.433333333333334,20.731689178325528,336.7292615254727
+00.0250_+034.2250,7,65.52967792948087,9.133333333333333,20.54902593004237,340.0392372131353
+00.0250_+034.2250,8,85.98306485613188,13.1,20.92659390699053,351.8939554850266
+00.0250_+034.2250,9,119.96006917158762,16.066666666666666,21.41892126860444,357.21671498616604
+00.0250_+034.2250,10,147.28125951886176,18.866666666666667,21.3612791068238,368.72446390787815
+00.0250_+034.2250,11,172.59694376587868,17.3,21.071503258457906,347.841256968181
+00.0250_+034.2250,12,96.91847043832144,10.933333333333334,21.248207955035703,363.07522755940806
+00.0250_+034.2750,1,61.92095772822698,8.266666666666667,21.71477441753541,376.6025651041674
+00.0250_+034.2750,2,61.821752311786014,7.7,22.446268450868043,362.13593170166064
+00.0250_+034.2750,3,144.45524301926295,16.066666666666666,22.16420038763344,389.3658941650396
+00.0250_+034.2750,4,239.13263435860475,21.433333333333334,21.47886363064804,359.0110463968919
+00.0250_+034.2750,5,214.7354823231697,21.0,21.164364276735625,362.4270940144862
+00.0250_+034.2750,6,114.5404603878657,12.266666666666667,20.731689178325528,336.7292615254727
+00.0250_+034.2750,7,69.448313275973,9.4,20.54902593004237,340.0392372131353
+00.0250_+034.2750,8,92.84447299838068,13.5,20.92659390699053,351.8939554850266
+00.0250_+034.2750,9,129.44419434716303,16.8,21.41892126860444,357.21671498616604
+00.0250_+034.2750,10,146.59132637878258,19.4,21.3612791068238,368.72446390787815
+00.0250_+034.2750,11,167.16924436489742,17.766666666666666,21.071503258457906,347.841256968181
+00.0250_+034.2750,12,97.56231762568156,10.633333333333333,21.248207955035703,363.07522755940806
+00.0250_+034.3250,1,62.66473347942034,8.433333333333334,21.460673642585803,368.2941637674974
+00.0250_+034.3250,2,62.83615516424179,7.766666666666667,22.217460972922236,355.6392523701992
+00.0250_+034.3250,3,147.30437293450038,16.0,21.93434785207114,382.1113874816901
+00.0250_+034.3250,4,238.40933270355063,21.53333333333333,21.20874924624412,350.9684358215339
+00.0250_+034.3250,5,214.00105932156245,21.266666666666666,20.88618668586978,353.7019907633469
+00.0250_+034.3250,6,115.03844555219014,12.6,20.44467330014266,327.7110153198249
+00.0250_+034.3250,7,71.81944845616817,9.533333333333331,20.25634769863556,330.4196619669602
+00.0250_+034.3250,8,89.15323596596718,14.2,20.61496537526451,341.68459472656303
+00.0250_+034.3250,9,131.86081703901291,17.033333333333335,21.114846561573184,346.9082824707038
+00.0250_+034.3250,10,150.12116812467576,19.633333333333333,21.082535617240463,359.01234207153374
+00.0250_+034.3250,11,165.29552021225294,18.066666666666663,20.780909454204448,338.7936111450202
+00.0250_+034.3250,12,99.38629460334778,11.0,20.965506149620172,353.708762054444
+00.0250_+034.3750,1,59.097015196084975,8.5,21.460673642585803,368.2941637674974
+00.0250_+034.3750,2,55.6431215206782,7.8,22.217460972922236,355.6392523701992
+00.0250_+034.3750,3,142.4218314687411,15.833333333333334,21.93434785207114,382.1113874816901
+00.0250_+034.3750,4,229.2579199542602,21.466666666666665,21.20874924624412,350.9684358215339
+00.0250_+034.3750,5,198.74431056578956,21.6,20.88618668586978,353.7019907633469
+00.0250_+034.3750,6,104.2324341138204,12.833333333333334,20.44467330014266,327.7110153198249
+00.0250_+034.3750,7,73.02314492662748,9.566666666666666,20.25634769863556,330.4196619669602
+00.0250_+034.3750,8,81.00646668871244,14.566666666666666,20.61496537526451,341.68459472656303
+00.0250_+034.3750,9,129.42344738990067,17.266666666666666,21.114846561573184,346.9082824707038
+00.0250_+034.3750,10,155.3405091712872,19.566666666666663,21.082535617240463,359.01234207153374
+00.0250_+034.3750,11,176.27271637717882,17.733333333333334,20.780909454204448,338.7936111450202
+00.0250_+034.3750,12,100.336740843455,11.3,20.965506149620172,353.708762054444
+00.0250_+034.4250,1,67.24839938084284,8.733333333333333,21.09028536273589,358.2222351074225
+00.0250_+034.4250,2,64.19484014113745,8.233333333333333,21.846107010040143,347.3724144999193
+00.0250_+034.4250,3,151.54892604351045,15.833333333333334,21.544361905470552,371.1597895812995
+00.0250_+034.4250,4,249.7930829723676,22.066666666666663,20.79572253545128,338.2856912740079
+00.0250_+034.4250,5,216.96997147401171,22.0,20.486845690546087,340.8827888488775
+00.0250_+034.4250,6,122.9463194290797,13.0,20.038979940767657,315.04264704386463
+00.0250_+034.4250,7,83.92839382092158,10.266666666666667,19.83172931055872,316.77262344360406
+00.0250_+034.4250,8,102.50979513525962,14.766666666666667,20.17086535286306,327.5296485900884
+00.0250_+034.4250,9,140.25795333397886,17.4,20.674451777140327,332.6775128682461
+00.0250_+034.4250,10,156.39715931216875,20.03333333333333,20.666967408375097,344.5474413553879
+00.0250_+034.4250,11,188.72826064626372,17.866666666666667,20.35231706054125,325.7170260111498
+00.0250_+034.4250,12,107.59084119796752,11.566666666666666,20.551315191398825,341.0874610900885
+00.0250_+034.4750,1,74.6369934439659,8.7,21.09028536273589,358.2222351074225
+00.0250_+034.4750,2,69.26206711530685,8.233333333333333,21.846107010040143,347.3724144999193
+00.0250_+034.4750,3,156.08698652187982,15.466666666666669,21.544361905470552,371.1597895812995
+00.0250_+034.4750,4,263.7249862750371,22.23333333333333,20.79572253545128,338.2856912740079
+00.0250_+034.4750,5,242.43672244946163,22.066666666666663,20.486845690546087,340.8827888488775
+00.0250_+034.4750,6,141.7836191733678,13.4,20.038979940767657,315.04264704386463
+00.0250_+034.4750,7,94.8307266275088,10.4,19.83172931055872,316.77262344360406
+00.0250_+034.4750,8,119.64316691557566,14.9,20.17086535286306,327.5296485900884
+00.0250_+034.4750,9,151.26927221541604,17.633333333333333,20.674451777140327,332.6775128682461
+00.0250_+034.4750,10,161.20258531570434,19.866666666666667,20.666967408375097,344.5474413553879
+00.0250_+034.4750,11,189.42748258908588,17.766666666666666,20.35231706054125,325.7170260111498
+00.0250_+034.4750,12,115.390265750885,11.566666666666666,20.551315191398825,341.0874610900885
+00.0250_+034.5250,1,74.20746318300566,8.8,20.66008831762501,345.7046943155931
+00.0250_+034.5250,2,69.8853445370992,8.233333333333333,21.40827454382697,336.5966439310716
+00.0250_+034.5250,3,157.38276352485022,15.333333333333334,21.104352419863496,358.8032239278164
+00.0250_+034.5250,4,274.4933777451515,22.366666666666667,20.33664258391769,324.582001088461
+00.0250_+034.5250,5,239.43769269386928,22.33333333333333,20.035028811765848,326.3099301656093
+00.0250_+034.5250,6,139.03292534748712,13.933333333333334,19.58412678683249,300.6944976806648
+00.0250_+034.5250,7,94.3779251376788,10.433333333333334,19.35863614509611,301.4682276407883
+00.0250_+034.5250,8,128.04103961785634,15.333333333333334,19.678097953249495,311.8952031453456
+00.0250_+034.5250,9,155.540320901076,17.666666666666668,20.178851914582445,316.92015050252354
+00.0250_+034.5250,10,176.40281409621238,19.83333333333333,20.19773166478753,328.80092061360733
+00.0250_+034.5250,11,194.33345266183215,17.266666666666666,19.88357890588267,311.6956146240242
+00.0250_+034.5250,12,117.8358545144399,11.566666666666666,20.09548049297814,327.2264411926275
+00.0250_+034.5750,1,73.93503128886223,8.833333333333334,20.66008831762501,345.7046943155931
+00.0250_+034.5750,2,72.06607579390207,7.966666666666667,21.40827454382697,336.5966439310716
+00.0250_+034.5750,3,164.5176400701205,15.0,21.104352419863496,358.8032239278164
+00.0250_+034.5750,4,271.2915704349677,22.466666666666665,20.33664258391769,324.582001088461
+00.0250_+034.5750,5,246.74223428964612,22.133333333333333,20.035028811765848,326.3099301656093
+00.0250_+034.5750,6,135.56482200225193,14.1,19.58412678683249,300.6944976806648
+00.0250_+034.5750,7,95.9151230653127,10.9,19.35863614509611,301.4682276407883
+00.0250_+034.5750,8,136.42409252723058,15.366666666666667,19.678097953249495,311.8952031453456
+00.0250_+034.5750,9,160.2881941517194,18.03333333333333,20.178851914582445,316.92015050252354
+00.0250_+034.5750,10,167.1852863083283,19.633333333333333,20.19773166478753,328.80092061360733
+00.0250_+034.5750,11,198.30301453669867,17.1,19.88357890588267,311.6956146240242
+00.0250_+034.5750,12,122.09758345683416,11.466666666666669,20.09548049297814,327.2264411926275
+00.0250_+034.6250,1,79.1972085316976,8.933333333333334,20.29307696639852,332.51457249959367
+00.0250_+034.6250,2,77.01707797845205,7.633333333333334,21.059072858281144,324.6958331298834
+00.0250_+034.6250,3,166.73230376640956,14.6,20.788152245552336,347.1027028910326
+00.0250_+034.6250,4,273.05375171899794,22.33333333333333,20.002925497690867,312.5337077840177
+00.0250_+034.6250,5,248.72160694201787,22.1,19.67361081851429,312.16506449381563
+00.0250_+034.6250,6,133.73568159739176,13.666666666666666,19.23076424704661,287.4196164449064
+00.0250_+034.6250,7,97.56582231124244,11.1,19.00869888661157,288.2328742980963
+00.0250_+034.6250,8,134.73092756668726,15.633333333333333,19.31093670492963,298.15744730631565
+00.0250_+034.6250,9,160.69149924218655,18.1,19.790102005004904,302.72027587890705
+00.0250_+034.6250,10,164.533242670695,19.4,19.835868880569333,315.9112681070969
+00.0250_+034.6250,11,205.38839700222016,16.766666666666666,19.55602365776348,300.7626859029142
+00.0250_+034.6250,12,124.37504787445069,11.433333333333334,19.75776741684127,315.33106257120824
+00.0250_+034.6750,1,82.46826482216517,9.033333333333331,20.29307696639852,332.51457249959367
+00.0250_+034.6750,2,78.57626739343007,7.833333333333333,21.059072858281144,324.6958331298834
+00.0250_+034.6750,3,183.13153592348095,14.6,20.788152245552336,347.1027028910326
+00.0250_+034.6750,4,264.243118117253,22.03333333333333,20.002925497690867,312.5337077840177
+00.0250_+034.6750,5,251.85358727971712,21.9,19.67361081851429,312.16506449381563
+00.0250_+034.6750,6,133.28229677677157,13.466666666666669,19.23076424704661,287.4196164449064
+00.0250_+034.6750,7,102.17696609099706,11.0,19.00869888661157,288.2328742980963
+00.0250_+034.6750,8,142.5488162755966,15.4,19.31093670492963,298.15744730631565
+00.0250_+034.6750,9,156.6138705511888,17.9,19.790102005004904,302.72027587890705
+00.0250_+034.6750,10,160.04564875562986,19.266666666666666,19.835868880569333,315.9112681070969
+00.0250_+034.6750,11,191.8961194396019,16.333333333333332,19.55602365776348,300.7626859029142
+00.0250_+034.6750,12,126.32525345087052,11.133333333333333,19.75776741684127,315.33106257120824
+00.0250_+034.7250,1,79.12799792091052,8.7,19.766384608087584,314.7939105733242
+00.0250_+034.7250,2,79.33198932011922,7.5,20.548310960467973,308.72966405232813
+00.0250_+034.7250,3,181.73686128854752,14.866666666666667,20.31750652422617,331.3659480794277
+00.0250_+034.7250,4,261.539580270648,21.53333333333333,19.52306176432858,296.8656268819181
+00.0250_+034.7250,5,239.57540477911635,21.466666666666665,19.159727092455828,293.82541122436584
+00.0250_+034.7250,6,133.97620225747426,13.033333333333331,18.715158597451698,269.72364527384525
+00.0250_+034.7250,7,106.1658100048701,11.133333333333333,18.486152281128845,269.73595326741594
+00.0250_+034.7250,8,139.9767448504766,15.3,18.773582664271007,279.3149846394863
+00.0250_+034.7250,9,147.97127637267113,17.266666666666666,19.23517434296785,284.1818578084318
+00.0250_+034.7250,10,158.47580236991246,18.53333333333333,19.31069710707581,298.7001576741542
+00.0250_+034.7250,11,183.94389208952583,15.9,19.07079516022296,285.3721641540535
+00.0250_+034.7250,12,122.35906466643016,10.5,19.25099807110313,298.6366678873703
+00.0250_+034.7750,1,78.9749207218488,8.666666666666666,19.766384608087584,314.7939105733242
