location_key,cell_lat,cell_lon,n_rows,n_districts,first_year,last_year
+00.1750_+034.2250,0.175,34.225,31,2,2016,2020
+00.1750_+034.2750,0.175,34.275,28,2,2016,2020
+00.1750_+034.3250,0.175,34.325,31,1,2016,2020
+00.1750_+034.3750,0.175,34.375,32,2,2016,2020
+00.1750_+034.4250,0.175,34.425,39,2,2016,2018
+00.1750_+034.4750,0.175,34.475,78,2,2016,2020
+00.1750_+034.5250,0.175,34.525,150,2,2016,2020
+00.1750_+034.5750,0.175,34.575,118,3,2016,2020
+00.1750_+034.6250,0.175,34.625,91,4,2016,2020
+00.1750_+034.6750,0.175,34.675,89,2,2016,2020
+00.1750_+034.7250,0.175,34.725,52,2,2016,2020
+00.1750_+034.7750,0.175,34.775,32,4,2016,2020
+00.1750_+034.8250,0.175,34.825,21,3,2016,2020
+00.1750_+034.8750,0.175,34.875,19,2,2016,2020
+00.1750_+034.9250,0.175,34.925,21,4,2016,2020
+00.1750_+034.9750,0.175,34.975,20,2,2016,2020
+00.1750_+035.0250,0.175,35.025,11,3,2016,2020
+00.1750_+035.0750,0.175,35.075,20,3,2017,2020
+00.1750_+035.1250,0.175,35.125,10,5,2017,2020
+00.1750_+035.1750,0.175,35.175,13,1,2018,2020
+00.1750_+035.2250,0.175,35.225,14,2,2018,2019
+00.1750_+035.2750,0.175,35.275,22,2,2019,2020
+00.1750_+035.4250,0.175,35.425,2,1,2020,2020
+00.1750_+035.4750,0.175,35.475,5,1,2020,2020
+00.1750_+035.5250,0.175,35.525,2,1,2020,2020
+00.1750_+035.6250,0.175,35.625,2,1,2020,2020
+00.1750_+036.3750,0.175,36.375,2,1,2020,2020
+00.1750_+036.4250,0.175,36.425,1,1,2020,2020
+00.1750_+037.5250,0.175,37.525,4,1,2020,2020
+00.1750_+037.5750,0.175,37.575,2,1,2020,2020
+00.1750_+037.7250,0.175,37.725,5,1,2020,2020
+00.2250_+034.0250,0.225,34.025,8,1,2019,2019
+00.2250_+034.0750,0.225,34.075,49,1,2016,2020
+00.2250_+034.1250,0.225,34.125,23,3,2017,2020
+00.2250_+034.1750,0.225,34.175,53,2,2016,2020
+00.2250_+034.2250,0.225,34.225,26,2,2017,2017
+00.2250_+034.2750,0.225,34.275,15,3,2017,2018
+00.2250_+034.3250,0.225,34.325,33,1,2016,2020
+00.2250_+034.3750,0.225,34.375,46,2,2016,2019
+00.2250_+034.4250,0.225,34.425,82,2,2016,2019
+00.2250_+034.4750,0.225,34.475,69,1,2016,2020
+00.2250_+034.5250,0.225,34.525,84,3,2016,2020
+00.2250_+034.5750,0.225,34.575,50,1,2016,2020
