location_key,cell_lat,cell_lon,n_rows,n_districts,first_year,last_year
+00.9250_+034.7750,0.925,34.775,29,2,2016,2018
+00.9250_+034.8250,0.925,34.825,31,3,2016,2019
+00.9250_+034.8750,0.925,34.875,16,2,2018,2020
+00.9250_+034.9250,0.925,34.925,35,1,2016,2019
+00.9250_+034.9750,0.925,34.975,21,1,2017,2020
+00.9250_+035.0250,0.925,35.025,50,1,2016,2020
+00.9250_+035.0750,0.925,35.075,23,3,2016,2020
+00.9250_+035.1250,0.925,35.125,3,2,2017,2020
+00.9250_+035.1750,0.925,35.175,10,2,2017,2020
+00.9250_+035.3250,0.925,35.325,21,1,2018,2018
+00.9750_+034.8250,0.975,34.825,13,2,2016,2020
+00.9750_+034.8750,0.975,34.875,51,1,2017,2019
+00.9750_+034.9250,0.975,34.925,56,1,2016,2020
+00.9750_+034.9750,0.975,34.975,43,5,2017,2020
+00.9750_+035.0250,0.975,35.025,25,2,2016,2020
+00.9750_+035.0750,0.975,35.075,44,2,2016,2020
+00.9750_+035.1250,0.975,35.125,9,1,2017,2020
+00.9750_+035.1750,0.975,35.175,35,2,2016,2020
+00.9750_+035.2250,0.975,35.225,4,1,2019,2020
+00.9750_+035.3250,0.975,35.325,12,1,2018,2020
+00.9750_+035.3750,0.975,35.375,12,1,2019,2020
+00.9750_+035.4250,0.975,35.425,1,1,2020,2020
+01.0250_+034.7750,1.025,34.775,6,1,2018,2020
+01.0250_+034.8250,1.025,34.825,34,1,2018,2020
+01.0250_+034.8750,1.025,34.875,26,1,2017,2020
+01.0250_+034.9250,1.025,34.925,6,1,2017,2020
+01.0250_+034.9750,1.025,34.975,31,5,2016,2020
+01.0250_+035.0250,1.025,35.025,43,3,2016,2020
+01.0250_+035.0750,1.025,35.075,18,1,2018,2020
+01.0250_+035.1250,1.025,35.125,25,1,2017,2020
+01.0250_+035.1750,1.025,35.175,31,2,2016,2020
+01.0250_+035.2250,1.025,35.225,11,1,2017,2020
+01.0250_+035.2750,1.025,35.275,14,1,2018,2019
+01.0250_+035.3250,1.025,35.325,39,1,2018,2020
+01.0250_+035.3750,1.025,35.375,8,1,2018,2020
+01.0750_+034.7750,1.075,34.775,20,1,2018,2020
+01.0750_+034.8250,1.075,34.825,7,1,2018,2020
+01.0750_+034.8750,1.075,34.875,2,1,2020,2020
+01.0750_+034.9250,1.075,34.925,12,1,2018,2020
+01.0750_+034.9750,1.075,34.975,14,2,2019,2020
+01.0750_+035.0250,1.075,35.025,11,1,2018,2020
+01.0750_+035.0750,1.075,35.075,16,1,2017,2020
+01.0750_+035.1250,1.075,35.125,14,1,2019,2020
+01.0750_+035.1750,1.075,35.175,20,1,2017,2019
+01.0750_+035.2250,1.075,35.225,44,1,2017,2020
+01.0750_+035.2750,1.075,35.275,4,1,2018,2018
+01.0750_+035.3250,1.075,35.325,1,1,2019,2019
+01.1250_+034.7750,1.125,34.775,21,1,2018,2020
+01.1250_+034.8250,1.125,34.825,14,1,2018,2020
+01.1250_+034.8750,1.125,34.875,5,1,2018,2018
+01.1250_+034.9250,1.125,34.925,6,1,2017,2018
+01.1250_+035.0250,1.125,35.025,2,1,2020,2020
+01.1250_+035.0750,1.125,35.075,9,1,2017,2020
+01.1250_+035.1250,1.125,35.125,69,1,2017,2020
+01.1250_+035.1750,1.125,35.175,33,1,2018,2020
+01.1250_+035.2250,1.125,35.225,29,1,2018,2020
+01.1250_+035.2750,1.125,35.275,5,1,2019,2019
+01.1750_+034.7750,1.175,34.775,5,1,2018,2020
+01.1750_+034.8250,1.175,34.825,4,1,2020,2020
+01.1750_+034.8750,1.175,34.875,1,1,2020,2020
+01.1750_+034.9750,1.175,34.975,7,1,2020,2020
+01.1750_+035.0250,1.175,35.025,6,1,2018,2020
+01.1750_+035.1250,1.175,35.125,13,1,2019,2020
+01.1750_+035.1750,1.175,35.175,3,1,2018,2018
+01.2250_+034.9750,1.225,34.975,1,1,2018,2018
+01.2250_+035.0250,1.225,35.025,8,1,2018,2018
-00.0250_+034.0750,-0.025,34.075,11,1,2018,2018
-00.0250_+034.1250,-0.025,34.125,34,1,2018,2019
-00.0250_+034.1750,-0.025,34.175,26,1,2018,2020
-00.0250_+034.2250,-0.025,34.225,28,1,2018,2019
-00.0250_+034.2750,-0.025,34.275,1,1,2017,2017
-00.0250_+034.3250,-0.025,34.325,22,2,2017,2020
-00.0250_+034.3750,-0.025,34.375,9,1,2017,2020
-00.0250_+034.4250,-0.025,34.425,51,1,2017,2020
-00.0250_+034.4750,-0.025,34.475,69,2,2017,2020
-00.0250_+034.5250,-0.025,34.525,21,3,2017,2020
-00.0250_+034.5750,-0.025,34.575,14,2,2017,2020
-00.0250_+034.6250,-0.025,34.625,26,1,2019,2020
-00.0250_+034.6750,-0.025,34.675,45,3,2017,2020
-00.0250_+034.7250,-0.025,34.725,37,2,2017,2020
-00.0250_+034.7750,-0.025,34.775,10,2,2016,2020
-00.0250_+034.8250,-0.025,34.825,7,1,2020,2020
-00.0250_+034.8750,-0.025,34.875,6,1,2018,2020
-00.0250_+034.9750,-0.025,34.975,5,1,2020,2020
-00.0250_+035.0250,-0.025,35.025,5,2,2018,2020
-00.0250_+035.0750,-0.025,35.075,6,1,2020,2020
-00.0250_+035.1750,-0.025,35.175,4,1,2020,2020
-00.0250_+035.2250,-0.025,35.225,7,1,2018,2020
-00.0250_+035.2750,-0.025,35.275,6,1,2018,2020
-00.0250_+035.3250,-0.025,35.325,9,1,2016,2019
-00.0250_+035.3750,-0.025,35.375,25,1,2017,2019
-00.0250_+037.5750,-0.025,37.575,7,1,2020,2020
-00.0250_+037.6250,-0.025,37.625,1,1,2020,2020
-00.0750_+034.0750,-0.075,34.075,18,1,2019,2020
-00.0750_+034.1250,-0.075,34.125,7,1,2017,2020
-00.0750_+034.1750,-0.075,34.175,9,1,2019,2020
-00.0750_+034.2250,-0.075,34.225,8,1,2017,2019
-00.0750_+034.2750,-0.075,34.275,1,1,2017,2017
-00.0750_+034.3250,-0.075,34.325,6,1,2020,2020
-00.0750_+034.3750,-0.075,34.375,14,1,2020,2020
-00.0750_+034.4250,-0.075,34.425,1,1,2019,2019
-00.0750_+034.4750,-0.075,34.475,3,2,2019,2020
-00.0750_+034.5250,-0.075,34.525,6,1,2020,2020
-00.0750_+034.5750,-0.075,34.575,11,1,2020,2020
-00.0750_+034.6250,-0.075,34.625,9,2,2019,2020
-00.0750_+034.6750,-0.075,34.675,4,1,2020,2020
-00.0750_+035.0250,-0.075,35.025,5,1,2020,2020
-00.0750_+035.1250,-0.075,35.125,1,1,2020,2020
-00.0750_+035.1750,-0.075,35.175,1,1,2020,2020
-00.0750_+035.2250,-0.075,35.225,13,1,2016,2020
-00.0750_+035.2750,-0.075,35.275,53,1,2016,2020
-00.0750_+035.3250,-0.075,35.325,2,1,2019,2019
-00.0750_+037.7750,-0.075,37.775,2,1,2020,2020
-00.0750_+037.8250,-0.075,37.825,5,1,2020,2020
-00.1250_+034.2750,-0.125,34.275,4,1,2018,2019
-00.1250_+034.3750,-0.125,34.375,31,1,2020,2020
-00.1250_+034.4250,-0.125,34.425,3,1,2020,2020
-00.1250_+034.5250,-0.125,34.525,8,1,2020,2020
-00.1250_+034.5750,-0.125,34.575,8,1,2020,2020
-00.1250_+034.6250,-0.125,34.625,3,1,2020,2020
-00.1250_+034.6750,-0.125,34.675,2,1,2020,2020
-00.1250_+035.2250,-0.125,35.225,1,1,2020,2020
-00.1250_+035.4750,-0.125,35.475,10,1,2019,2020
-00.1250_+035.5250,-0.125,35.525,83,1,2019,2020
-00.1250_+035.5750,-0.125,35.575,38,1,2019,2019
-00.1250_+035.6250,-0.125,35.625,2,1,2019,2019
-00.1250_+037.8250,-0.125,37.825,1,1,2020,2020
-00.1750_+034.9750,-0.175,34.975,5,1,2020,2020
-00.1750_+035.0250,-0.175,35.025,2,1,2020,2020
-00.1750_+035.0750,-0.175,35.075,1,1,2020,2020
-00.1750_+035.2250,-0.175,35.225,6,2,2020,2020
-00.1750_+035.2750,-0.175,35.275,1,1,2020,2020
-00.1750_+035.4250,-0.175,35.425,4,1,2019,2019
-00.1750_+035.4750,-0.175,35.475,1,1,2020,2020
-00.1750_+035.5250,-0.175,35.525,26,1,2019,2020
-00.1750_+035.5750,-0.175,35.575,21,1,2019,2019
-00.1750_+035.6250,-0.175,35.625,10,1,2019,2019
-00.2250_+034.0750,-0.225,34.075,1,1,2017,2017
-00.2250_+034.9250,-0.225,34.925,1,1,2020,2020
-00.2250_+034.9750,-0.225,34.975,10,2,2018,2020
-00.2250_+035.1750,-0.225,35.175,1,1,2020,2020
-00.2250_+035.2250,-0.225,35.225,7,3,2020,2020
-00.2250_+035.2750,-0.225,35.275,1,1,2020,2020
-00.2250_+035.3250,-0.225,35.325,8,1,2019,2020
-00.2250_+035.3750,-0.225,35.375,11,1,2019,2020
-00.2250_+035.4250,-0.225,35.425,6,1,2020,2020
-00.2250_+036.2250,-0.225,36.225,1,1,2020,2020
-00.2250_+036.2750,-0.225,36.275,8,1,2020,2020
-00.2250_+036.3750,-0.225,36.375,4,1,2020,2020
-00.2250_+036.4250,-0.225,36.425,3,1,2020,2020
-00.2750_+034.3250,-0.275,34.325,1,1,2020,2020
-00.2750_+034.3750,-0.275,34.375,14,1,2020,2020
-00.2750_+034.4250,-0.275,34.425,1,1,2020,2020
-00.2750_+034.9250,-0.275,34.925,2,1,2018,2018
-00.2750_+034.9750,-0.275,34.975,7,2,2018,2020
-00.2750_+035.0250,-0.275,35.025,3,1,2019,2019
-00.2750_+035.0750,-0.275,35.075,2,1,2018,2018
-00.2750_+035.2750,-0.275,35.275,16,2,2018,2020
-00.2750_+035.3750,-0.275,35.375,11,1,2020,2020
-00.2750_+035.4250,-0.275,35.425,2,1,2020,2020
-00.2750_+035.4750,-0.275,35.475,1,1,2019,2019
-00.2750_+036.2250,-0.275,36.225,8,1,2020,2020
-00.2750_+036.3250,-0.275,36.325,7,1,2020,2020
-00.3250_+034.2750,-0.325,34.275,4,1,2020,2020
-00.3250_+034.3250,-0.325,34.325,9,1,2020,2020
-00.3250_+034.5750,-0.325,34.575,2,0,2017,2017
-00.3250_+034.7750,-0.325,34.775,3,1,2016,2016
-00.3250_+034.8250,-0.325,34.825,7,1,2018,2018
-00.3250_+034.8750,-0.325,34.875,8,2,2018,2019
-00.3250_+034.9250,-0.325,34.925,17,2,2018,2019
-00.3250_+034.9750,-0.325,34.975,33,2,2016,2020
-00.3250_+035.0250,-0.325,35.025,10,3,2016,2020
-00.3250_+035.0750,-0.325,35.075,17,1,2017,2019
-00.3250_+035.1250,-0.325,35.125,11,1,2018,2020
-00.3250_+035.1750,-0.325,35.175,21,1,2018,2020
-00.3250_+035.2250,-0.325,35.225,3,1,2019,2019
-00.3250_+035.2750,-0.325,35.275,18,2,2018,2020
-00.3250_+035.9750,-0.325,35.975,5,1,2020,2020
-00.3250_+036.2250,-0.325,36.225,8,1,2020,2020
-00.3250_+036.3750,-0.325,36.375,2,1,2020,2020
-00.3250_+036.4250,-0.325,36.425,3,1,2020,2020
-00.3750_+034.2750,-0.375,34.275,1,1,2020,2020
-00.3750_+034.3250,-0.375,34.325,3,1,2020,2020
-00.3750_+034.5250,-0.375,34.525,12,0,2017,2017
-00.3750_+034.5750,-0.375,34.575,1,0,2017,2017
-00.3750_+034.6250,-0.375,34.625,5,1,2020,2020
-00.3750_+034.6750,-0.375,34.675,4,2,2019,2020
-00.3750_+034.7250,-0.375,34.725,10,2,2019,2020
-00.3750_+034.7750,-0.375,34.775,10,1,2016,2019
-00.3750_+034.8250,-0.375,34.825,4,1,2016,2017
-00.3750_+034.8750,-0.375,34.875,23,2,2016,2020
-00.3750_+034.9250,-0.375,34.925,47,2,2016,2020
-00.3750_+034.9750,-0.375,34.975,61,2,2016,2020
-00.3750_+035.0250,-0.375,35.025,24,4,2016,2020
-00.3750_+035.0750,-0.375,35.075,40,1,2017,2020
-00.3750_+035.1250,-0.375,35.125,11,1,2018,2020
-00.3750_+035.1750,-0.375,35.175,2,1,2018,2018
-00.3750_+035.2250,-0.375,35.225,1,1,2020,2020
-00.3750_+035.8750,-0.375,35.875,1,1,2020,2020
-00.3750_+036.4250,-0.375,36.425,3,1,2020,2020
-00.4250_+034.1250,-0.425,34.125,3,1,2020,2020
-00.4250_+034.2750,-0.425,34.275,1,1,2020,2020
-00.4250_+034.4750,-0.425,34.475,5,1,2020,2020
-00.4250_+034.5250,-0.425,34.525,5,1,2017,2020
-00.4250_+034.5750,-0.425,34.575,7,1,2020,2020
-00.4250_+034.6250,-0.425,34.625,12,2,2018,2020
-00.4250_+034.6750,-0.425,34.675,6,2,2017,2020
-00.4250_+034.7250,-0.425,34.725,43,1,2017,2020
-00.4250_+034.7750,-0.425,34.775,21,1,2019,2020
-00.4250_+034.8250,-0.425,34.825,55,2,2016,2020
-00.4250_+034.8750,-0.425,34.875,64,1,2016,2020
-00.4250_+034.9250,-0.425,34.925,115,1,2016,2020
-00.4250_+034.9750,-0.425,34.975,56,1,2016,2020
-00.4250_+035.0250,-0.425,35.025,44,3,2016,2020
-00.4250_+035.0750,-0.425,35.075,39,1,2017,2020
-00.4250_+035.1250,-0.425,35.125,6,1,2019,2020
-00.4250_+035.1750,-0.425,35.175,6,1,2017,2018
-00.4250_+035.9250,-0.425,35.925,2,1,2020,2020
-00.4250_+035.9750,-0.425,35.975,1,1,2020,2020
-00.4250_+036.3750,-0.425,36.375,2,1,2020,2020
-00.4250_+036.9750,-0.425,36.975,2,1,2020,2020
-00.4250_+037.5250,-0.425,37.525,4,1,2020,2020
-00.4250_+037.5750,-0.425,37.575,4,1,2020,2020
-00.4750_+034.1750,-0.475,34.175,2,1,2020,2020
-00.4750_+034.2250,-0.475,34.225,2,1,2020,2020
-00.4750_+034.2750,-0.475,34.275,2,1,2020,2020
-00.4750_+034.5750,-0.475,34.575,7,1,2017,2020
-00.4750_+034.6250,-0.475,34.625,26,2,2016,2020
-00.4750_+034.6750,-0.475,34.675,28,1,2017,2020
-00.4750_+034.7250,-0.475,34.725,44,1,2017,2019
-00.4750_+034.7750,-0.475,34.775,36,1,2016,2020
-00.4750_+034.8250,-0.475,34.825,62,3,2016,2020
-00.4750_+034.8750,-0.475,34.875,51,2,2016,2020
-00.4750_+034.9250,-0.475,34.925,105,2,2016,2020
-00.4750_+034.9750,-0.475,34.975,60,2,2016,2020
-00.4750_+035.0250,-0.475,35.025,31,2,2016,2020
-00.4750_+035.0750,-0.475,35.075,16,1,2017,2020
-00.4750_+035.1250,-0.475,35.125,26,1,2017,2020
-00.4750_+035.1750,-0.475,35.175,3,1,2018,2018
-00.4750_+035.2250,-0.475,35.225,1,1,2018,2018
-00.4750_+035.9250,-0.475,35.925,1,1,2020,2020
-00.4750_+036.9250,-0.475,36.925,7,1,2020,2020
-00.4750_+037.0250,-0.475,37.025,1,1,2020,2020
-00.4750_+037.0750,-0.475,37.075,1,1,2020,2020
-00.4750_+037.1250,-0.475,37.125,7,1,2020,2020
-00.4750_+037.2750,-0.475,37.275,1,1,2020,2020
-00.4750_+037.3750,-0.475,37.375,4,1,2020,2020
-00.4750_+037.4750,-0.475,37.475,5,1,2020,2020
-00.4750_+037.5250,-0.475,37.525,2,1,2020,2020
-00.4750_+037.6750,-0.475,37.675,5,1,2020,2020
-00.5250_+034.3750,-0.525,34.375,6,1,2020,2020
-00.5250_+034.4750,-0.525,34.475,3,2,2016,2020
-00.5250_+034.5250,-0.525,34.525,5,1,2020,2020
-00.5250_+034.5750,-0.525,34.575,21,2,2017,2020
-00.5250_+034.6250,-0.525,34.625,26,2,2016,2020
-00.5250_+034.6750,-0.525,34.675,12,1,2020,2020
-00.5250_+034.7250,-0.525,34.725,84,2,2016,2020
-00.5250_+034.7750,-0.525,34.775,79,2,2016,2020
-00.5250_+034.8250,-0.525,34.825,64,4,2016,2020
-00.5250_+034.8750,-0.525,34.875,42,1,2016,2020
-00.5250_+034.9250,-0.525,34.925,46,2,2016,2020
-00.5250_+034.9750,-0.525,34.975,36,1,2016,2020
-00.5250_+035.0250,-0.525,35.025,37,1,2016,2020
-00.5250_+035.1250,-0.525,35.125,12,1,2018,2019
-00.5250_+035.1750,-0.525,35.175,2,1,2018,2018
-00.5250_+035.9750,-0.525,35.975,3,1,2020,2020
-00.5250_+036.0250,-0.525,36.025,3,1,2020,2020
-00.5250_+037.0250,-0.525,37.025,5,1,2020,2020
-00.5250_+037.0750,-0.525,37.075,4,1,2020,2020
-00.5250_+037.1250,-0.525,37.125,5,1,2020,2020
-00.5250_+037.1750,-0.525,37.175,3,1,2020,2020
-00.5250_+037.2750,-0.525,37.275,7,1,2020,2020
-00.5250_+037.3250,-0.525,37.325,4,1,2020,2020
-00.5250_+037.4750,-0.525,37.475,10,1,2020,2020
-00.5250_+037.5250,-0.525,37.525,1,1,2020,2020
-00.5750_+034.3750,-0.575,34.375,10,2,2018,2020
-00.5750_+034.4750,-0.575,34.475,11,2,2017,2020
-00.5750_+034.5250,-0.575,34.525,11,2,2016,2020
-00.5750_+034.5750,-0.575,34.575,19,2,2017,2020
-00.5750_+034.6250,-0.575,34.625,18,2,2016,2020
-00.5750_+034.6750,-0.575,34.675,29,4,2017,2020
-00.5750_+034.7250,-0.575,34.725,79,3,2016,2020
-00.5750_+034.7750,-0.575,34.775,61,3,2016,2020
-00.5750_+034.8250,-0.575,34.825,81,2,2016,2020
-00.5750_+034.8750,-0.575,34.875,13,1,2016,2020
-00.5750_+034.9250,-0.575,34.925,15,1,2016,2020
-00.5750_+034.9750,-0.575,34.975,31,1,2016,2020
-00.5750_+035.0250,-0.575,35.025,14,1,2016,2020
-00.5750_+035.1750,-0.575,35.175,2,1,2020,2020
-00.5750_+035.2250,-0.575,35.225,11,1,2018,2020
-00.5750_+036.0250,-0.575,36.025,14,1,2020,2020
-00.5750_+036.0750,-0.575,36.075,1,1,2020,2020
-00.5750_+036.9750,-0.575,36.975,6,1,2020,2020
-00.5750_+037.0250,-0.575,37.025,12,1,2020,2020
-00.5750_+037.0750,-0.575,37.075,4,1,2020,2020
-00.5750_+037.1250,-0.575,37.125,4,1,2020,2020
-00.5750_+037.1750,-0.575,37.175,3,1,2020,2020
-00.5750_+037.2250,-0.575,37.225,3,1,2020,2020
-00.5750_+037.2750,-0.575,37.275,3,1,2020,2020
-00.5750_+037.3250,-0.575,37.325,3,1,2020,2020
-00.6250_+034.3250,-0.625,34.325,1,1,2020,2020
-00.6250_+034.3750,-0.625,34.375,12,1,2020,2020
-00.6250_+034.4250,-0.625,34.425,13,2,2018,2020
-00.6250_+034.4750,-0.625,34.475,23,1,2017,2019
-00.6250_+034.5250,-0.625,34.525,39,1,2016,2020
-00.6250_+034.5750,-0.625,34.575,12,1,2018,2020
-00.6250_+034.6250,-0.625,34.625,31,2,2016,2020
-00.6250_+034.6750,-0.625,34.675,24,3,2016,2020
-00.6250_+034.7250,-0.625,34.725,56,3,2016,2020
-00.6250_+034.7750,-0.625,34.775,40,2,2016,2020
-00.6250_+034.8250,-0.625,34.825,53,2,2016,2020
-00.6250_+034.8750,-0.625,34.875,25,2,2017,2020
-00.6250_+034.9250,-0.625,34.925,11,2,2017,2020
-00.6250_+034.9750,-0.625,34.975,10,1,2018,2020
-00.6250_+035.0250,-0.625,35.025,20,2,2018,2020
-00.6250_+035.1250,-0.625,35.125,10,1,2020,2020
-00.6250_+035.1750,-0.625,35.175,10,1,2020,2020
-00.6250_+035.2250,-0.625,35.225,8,1,2018,2020
-00.6250_+036.0250,-0.625,36.025,5,1,2020,2020
-00.6250_+037.1250,-0.625,37.125,1,1,2020,2020
-00.6250_+037.1750,-0.625,37.175,1,1,2020,2020
-00.6250_+037.2250,-0.625,37.225,2,1,2020,2020
-00.6750_+034.2750,-0.675,34.275,1,1,2020,2020
-00.6750_+034.3250,-0.675,34.325,11,2,2018,2020
-00.6750_+034.3750,-0.675,34.375,9,2,2019,2020
-00.6750_+034.4250,-0.675,34.425,8,2,2018,2020
-00.6750_+034.4750,-0.675,34.475,27,1,2016,2020
-00.6750_+034.5250,-0.675,34.525,27,1,2016,2020
-00.6750_+034.5750,-0.675,34.575,18,1,2018,2020
-00.6750_+034.6250,-0.675,34.625,40,2,2016,2020
-00.6750_+034.6750,-0.675,34.675,50,2,2016,2020
-00.6750_+034.7250,-0.675,34.725,48,7,2016,2020
-00.6750_+034.7750,-0.675,34.775,180,8,2016,2020
-00.6750_+034.8250,-0.675,34.825,31,3,2016,2020
-00.6750_+034.8750,-0.675,34.875,19,3,2016,2020
-00.6750_+034.9250,-0.675,34.925,16,3,2017,2020
-00.6750_+034.9750,-0.675,34.975,8,1,2018,2020
-00.6750_+035.0250,-0.675,35.025,5,2,2019,2019
-00.6750_+035.0750,-0.675,35.075,11,1,2018,2019
-00.6750_+035.1250,-0.675,35.125,1,1,2020,2020
-00.6750_+035.2250,-0.675,35.225,5,1,2020,2020
-00.6750_+035.2750,-0.675,35.275,3,1,2020,2020
-00.6750_+035.3250,-0.675,35.325,4,1,2020,2020
-00.6750_+035.3750,-0.675,35.375,8,1,2020,2020
-00.6750_+035.4250,-0.675,35.425,1,1,2020,2020
-00.7250_+034.2250,-0.725,34.225,1,1,2020,2020
-00.7250_+034.2750,-0.725,34.275,8,1,2020,2020
-00.7250_+034.3250,-0.725,34.325,9,2,2018,2019
-00.7250_+034.3750,-0.725,34.375,10,2,2018,2020
-00.7250_+034.4250,-0.725,34.425,8,2,2019,2020
-00.7250_+034.4750,-0.725,34.475,15,1,2018,2020
-00.7250_+034.5250,-0.725,34.525,32,1,2018,2020
-00.7250_+034.5750,-0.725,34.575,23,1,2016,2020
-00.7250_+034.6250,-0.725,34.625,35,3,2016,2019
-00.7250_+034.6750,-0.725,34.675,69,2,2016,2020
-00.7250_+034.7250,-0.725,34.725,61,2,2016,2020
-00.7250_+034.7750,-0.725,34.775,94,5,2016,2020
-00.7250_+034.8250,-0.725,34.825,48,3,2016,2020
-00.7250_+034.8750,-0.725,34.875,27,1,2016,2020
-00.7250_+034.9250,-0.725,34.925,17,2,2018,2020
-00.7250_+034.9750,-0.725,34.975,5,1,2019,2020
-00.7250_+035.0250,-0.725,35.025,1,1,2020,2020
-00.7250_+035.0750,-0.725,35.075,5,2,2019,2020
-00.7250_+035.1250,-0.725,35.125,3,1,2020,2020
-00.7250_+035.1750,-0.725,35.175,4,1,2020,2020
-00.7250_+035.2250,-0.725,35.225,4,1,2020,2020
-00.7250_+035.3250,-0.725,35.325,1,1,2020,2020
-00.7750_+034.2250,-0.775,34.225,5,1,2020,2020
-00.7750_+034.2750,-0.775,34.275,12,2,2019,2020
-00.7750_+034.3250,-0.775,34.325,8,3,2019,2020
-00.7750_+034.3750,-0.775,34.375,22,2,2019,2020
-00.7750_+034.4250,-0.775,34.425,13,2,2018,2020
-00.7750_+034.4750,-0.775,34.475,30,1,2017,2020
-00.7750_+034.5250,-0.775,34.525,16,1,2016,2020
-00.7750_+034.5750,-0.775,34.575,50,2,2016,2020
-00.7750_+034.6250,-0.775,34.625,51,3,2016,2020
-00.7750_+034.6750,-0.775,34.675,68,2,2016,2020
-00.7750_+034.7250,-0.775,34.725,50,2,2016,2020
-00.7750_+034.7750,-0.775,34.775,50,2,2016,2020
-00.7750_+034.8250,-0.775,34.825,17,3,2016,2020
-00.7750_+034.8750,-0.775,34.875,28,2,2016,2020
-00.7750_+034.9250,-0.775,34.925,23,1,2016,2020
-00.7750_+034.9750,-0.775,34.975,5,1,2018,2020
-00.7750_+035.0250,-0.775,35.025,11,1,2016,2020
-00.7750_+035.0750,-0.775,35.075,13,2,2016,2020
-00.7750_+035.1750,-0.775,35.175,2,1,2020,2020
-00.7750_+035.2250,-0.775,35.225,1,1,2020,2020
-00.7750_+035.2750,-0.775,35.275,1,1,2020,2020
-00.7750_+036.9250,-0.775,36.925,1,1,2020,2020
-00.7750_+036.9750,-0.775,36.975,11,1,2020,2020
-00.7750_+037.3250,-0.775,37.325,5,1,2020,2020
-00.7750_+037.4250,-0.775,37.425,2,1,2020,2020
-00.7750_+037.5250,-0.775,37.525,1,1,2020,2020
-00.7750_+037.5750,-0.775,37.575,5,1,2020,2020
-00.7750_+037.6250,-0.775,37.625,1,1,2020,2020
-00.8250_+034.3750,-0.825,34.375,8,2,2019,2020
-00.8250_+034.4250,-0.825,34.425,6,1,2018,2018
-00.8250_+034.4750,-0.825,34.475,22,2,2016,2020
-00.8250_+034.5250,-0.825,34.525,14,3,2016,2020
-00.8250_+034.5750,-0.825,34.575,40,2,2016,2020
-00.8250_+034.6250,-0.825,34.625,19,3,2016,2020
-00.8250_+034.6750,-0.825,34.675,39,3,2016,2020
-00.8250_+034.7250,-0.825,34.725,20,3,2016,2020
-00.8250_+034.7750,-0.825,34.775,27,3,2016,2020
-00.8250_+034.8250,-0.825,34.825,21,3,2016,2019
-00.8250_+034.8750,-0.825,34.875,36,2,2016,2020
-00.8250_+034.9250,-0.825,34.925,30,1,2016,2020
-00.8250_+034.9750,-0.825,34.975,24,1,2016,2020
-00.8250_+035.0250,-0.825,35.025,15,1,2018,2018
-00.8250_+035.1750,-0.825,35.175,10,1,2020,2020
-00.8250_+035.2250,-0.825,35.225,2,1,2020,2020
-00.8250_+036.9250,-0.825,36.925,1,1,2020,2020
-00.8250_+036.9750,-0.825,36.975,8,1,2020,2020
-00.8250_+037.0250,-0.825,37.025,2,1,2020,2020
-00.8250_+037.0750,-0.825,37.075,8,1,2020,2020
-00.8250_+037.1250,-0.825,37.125,2,1,2020,2020
-00.8250_+037.1750,-0.825,37.175,8,1,2020,2020
-00.8250_+037.3250,-0.825,37.325,2,1,2020,2020
-00.8250_+037.3750,-0.825,37.375,2,1,2020,2020
-00.8250_+037.4250,-0.825,37.425,2,1,2020,2020
-00.8250_+037.5250,-0.825,37.525,5,1,2020,2020
-00.8250_+037.5750,-0.825,37.575,1,1,2020,2020
-00.8750_+034.4250,-0.875,34.425,1,1,2017,2017
-00.8750_+034.4750,-0.875,34.475,19,3,2016,2020
-00.8750_+034.5250,-0.875,34.525,20,3,2016,2020
-00.8750_+034.5750,-0.875,34.575,24,3,2016,2020
-00.8750_+034.6250,-0.875,34.625,17,3,2018,2020
-00.8750_+034.6750,-0.875,34.675,19,1,2018,2020
-00.8750_+034.7250,-0.875,34.725,34,2,2017,2020
-00.8750_+034.7750,-0.875,34.775,30,2,2017,2020
-00.8750_+034.8250,-0.875,34.825,45,2,2018,2020
-00.8750_+034.8750,-0.875,34.875,27,2,2016,2020
-00.8750_+034.9250,-0.875,34.925,48,1,2016,2020
-00.8750_+034.9750,-0.875,34.975,32,1,2016,2018
-00.8750_+035.0250,-0.875,35.025,3,1,2016,2017
-00.8750_+035.4250,-0.875,35.425,3,1,2020,2020
-00.8750_+037.0250,-0.875,37.025,4,1,2020,2020
-00.8750_+037.1750,-0.875,37.175,2,1,2020,2020
-00.9250_+034.2750,-0.925,34.275,7,1,2019,2019
-00.9250_+034.3250,-0.925,34.325,13,2,2018,2019
-00.9250_+034.3750,-0.925,34.375,7,2,2016,2019
-00.9250_+034.4250,-0.925,34.425,10,2,2017,2020
-00.9250_+034.4750,-0.925,34.475,31,2,2017,2020
-00.9250_+034.5250,-0.925,34.525,14,2,2017,2020
-00.9250_+034.5750,-0.925,34.575,17,2,2018,2020
-00.9250_+034.6250,-0.925,34.625,15,2,2018,2020
-00.9250_+034.6750,-0.925,34.675,29,1,2018,2020
-00.9250_+034.7250,-0.925,34.725,16,1,2018,2020
-00.9250_+034.7750,-0.925,34.775,14,2,2017,2020
-00.9250_+034.8250,-0.925,34.825,15,1,2018,2020
-00.9250_+034.8750,-0.925,34.875,11,2,2018,2020
-00.9250_+034.9250,-0.925,34.925,18,1,2016,2020
