yield_kg_ph,year,is_holdout,cv_group,cv_fold,site,district,plant_date,harvest_date,cows,electricity,hh_num,hh_num_under18,owns_cows,owns_electricity,owns_oxen,plot_acres,plot_hectares,wealth_index,can_kg_ph_flagged_outlier,comp_quality_is_missing,comp_wb_pa_flagged_outlier,dap_kg_ph_flagged_outlier,fertility_is_missing,field_gps_flagged_invalid,growing_season_days_flagged,n_kg_ph_is_missing,pest_disease_is_missing,plant_date_doy_is_missing,plot_acres_flagged_outlier,slope_angle_num_is_missing,slope_is_missing,urea_kg_ph_flagged_outlier,uses_hybrid_seed_is_missing,basal_n_share,can_kg_ph,can_kg_ph_winsorized,comp_wb_pa,comp_wb_pa_winsorized,compost_applied,compost_wb_ph,dap_kg_ph,dap_kg_ph_winsorized,hybrid_seed_share,hybridseed_kg_ph,intercrop,intercrop_is_legume,intercrop_type,k2o_kg_ph,lime_kg_ph,lime_kg_ph_winsorized,localseed_kg_ph,n_kg_ph,npk_kg_ph,npk_kg_ph_winsorized,p2o5_kg_ph,plant_date_doy,seed_category,seed_type,seed_type_clean,seed_type_is_mixed,seed_type_primary,topdress_applied,total_nutrient_kg_ph,urea_kg_ph,urea_kg_ph_winsorized,uses_hybrid_seed,drought,chickens,fertility,fertility_ordinal,goats,growing_season_days,hh_num_under5,owns_chickens,owns_goats,weed,FAW,flood,pest_disease
2627.1165,2017,False,Luuya,2,Luuya,kimilili,,2017-07-27,3.0,,7.0,5.0,True,,False,0.75,0.303514510393143,0.23828605228518726,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,0.40909090909090906,62.599934,62.599934,0.0,0.0,False,0.0,62.599934,62.599934,1.0,48.762054,True,True,beans,0.0,0.0,0.0,0.0,27.54397096,0.0,0.0,28.79596964,,hybrid_branded,h_6213,h_6213,False,h_6213,True,56.3399406,0.0,0.0,True,False,10.0,worse,-1.0,0.0,,,True,False,2.0,True,False,True
2734.4119,2017,False,Kanyamamba,2,Kanyamamba,rongo,,,2.0,,5.0,1.0,True,,False,1.0,0.404686003923416,0.23828605228518726,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,1.0,0.0,0.0,0.0,0.0,False,0.0,49.421001,49.421001,1.0,61.776249,True,True,beans,0.0,0.0,0.0,0.0,8.89578018,0.0,0.0,22.73366046,,hybrid_branded,dk_8031,dk_8031,False,dk_8031,False,31.62944064,0.0,0.0,True,True,8.0,same,0.0,0.0,,,True,False,2.0,True,True,True
2393.0168,2017,False,Kituni,1,Kituni,webuye,,2017-08-24,0.0,,5.0,3.0,False,,False,0.5,0.202343001961708,-0.9519553830121535,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0.40909090909090906,123.5525,123.5525,0.0,0.0,False,0.0,123.5525,123.5525,,0.0,True,True,beans,0.0,0.0,0.0,0.0,54.363099999999996,0.0,0.0,56.83415,,hybrid_branded,h_6213,h_6213,False,h_6213,True,111.19725,0.0,0.0,False,False,6.0,same,0.0,0.0,,,True,False,2.0,True,False,True
4239.8013,2017,False,Maliki,1,Maliki,ndalu,2017-02-28,2017-09-01,0.0,,4.0,2.0,False,,False,0.5,0.202343001961708,-0.9519553830121535,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,0.06474820388946188,247.105,247.105,0.0,0.0,False,0.0,24.710501,24.710501,1.0,49.421001,True,True,beans,0.0,0.0,0.0,0.0,68.69519018,0.0,0.0,11.366830460000001,59.0,hybrid_branded,h_6213,h_6213,False,h_6213,True,80.06202064,0.0,0.0,True,False,25.0,same,0.0,0.0,185.0,,True,False,2.0,,False,True
2536.0776,2017,False,Kamsaki,3,Kamsaki,migori,,2017-07-03,5.0,,10.0,8.0,True,,False,0.5,0.202343001961708,1.5051934708448016,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,True,True,beans,0.0,0.0,0.0,29.652599,0.0,0.0,0.0,0.0,,local,local,local,False,local,False,0.0,0.0,0.0,False,False,2.0,same,0.0,5.0,,,True,True,2.0,,False,True
5065.6523,2017,False,Shiyunzu,4,Shiyunzu,kakamega_north,2017-03-04,2017-06-27,2.0,,6.0,3.0,True,,False,0.5,0.202343001961708,1.5051934708448016,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,0.40909090909090906,123.5525,123.5525,0.0,0.0,False,0.0,123.5525,123.5525,1.0,49.421001,True,True,beans,0.0,0.0,0.0,0.0,54.363099999999996,0.0,0.0,56.83415,63.0,hybrid_branded,wh_509,wh_509,False,wh_509,True,111.19725,0.0,0.0,True,False,3.0,better,1.0,3.0,115.0,,True,True,0.0,True,False,True
4005.7021,2017,False,Isongo,2,Isongo,kakamega_north,,,2.0,,7.0,5.0,True,,False,2.0,0.809372007846832,1.5051934708448016,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,0.40909090909090906,30.888124,30.888124,0.0,0.0,False,0.0,30.888124,30.888124,0.439999992748022,6.7953873,True,True,beans,0.0,0.0,0.0,8.648675,13.59077456,0.0,0.0,14.208537040000001,,hybrid_branded,wh_505,wh_505,False,wh_505,True,27.799311600000003,0.0,0.0,True,False,8.0,better,1.0,2.0,,,True,True,3.0,True,False,True
4044.7188,2017,False,Marakusi,2,Marakusi,lugari,2017-04-22,2017-09-27,3.0,,5.0,1.0,True,,False,0.5,0.202343001961708,0.23828605228518726,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,0.40909090909090906,123.5525,123.5525,0.0,0.0,False,0.0,123.5525,123.5525,1.0,49.421001,True,True,beans,0.0,0.0,0.0,0.0,54.363099999999996,0.0,0.0,56.83415,112.0,hybrid_branded,h_6213,h_6213,False,h_6213,True,111.19725,0.0,0.0,True,False,25.0,better,1.0,0.0,158.0,,True,False,2.0,True,False,True
0.0,2017,False,Simur,3,Simur,alego,,2017-06-27,3.0,,3.0,0.0,True,,False,0.125,0.050585750490427,1.5051934708448016,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,0.580645164369686,39.5368,39.5368,0.0,0.0,False,0.0,79.073601,79.073601,0.0,0.0,True,True,beans,0.0,0.0,0.0,19.7684,24.512816179999998,0.0,0.0,36.37385646,,local,local,local,False,local,True,60.88667264,0.0,0.0,False,True,4.0,worse,-1.0,1.0,,,True,True,1.0,True,True,True
2731.1606,2017,False,Aterait,2,Aterait,sirisia,2017-02-27,2017-07-29,5.0,,5.0,3.0,True,,False,0.5,0.202343001961708,0.23828605228518726,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,0.40909090909090906,123.5525,123.5525,0.0,0.0,False,0.0,123.5525,123.5525,1.0,49.421001,True,True,beans,0.0,0.0,0.0,0.0,54.363099999999996,0.0,0.0,56.83415,58.0,hybrid_branded,h_614d,h_614d,False,h_614d,True,111.19725,0.0,0.0,True,True,10.0,same,0.0,0.0,152.0,,True,False,2.0,True,False,True
